study_name,value,c1,c2,c3,inputWeights_max,inputWeights_min,interSpeciesRate,keep,noCrossoverOff,probabilityAddLink_Large,probabilityAddLink_small,probabilityAddNodeLarge,probabilityAddNodeSmall,probabilityWeightMutated,threshold,number,state
IZ-A,0.93,0.9151160612295326,0.5518780198140149,0.4894964090083405,134.06536006086864,113.6364078448744,0.0009808371616858106,0.47950097015241006,0.30926403468384955,0.07319084567427024,0.048557335299464634,0.31116031472126054,0.02194004905032651,0.8107721712851201,3.8608647554892146,4,COMPLETE
IZ-B,0.93,1.2773236593895316,1.4607437960207943,0.3648281450359247,168.5396636366421,120.7780802599622,0.0011139803937519975,0.5504174253437667,0.2692543409896937,0.1589502846448985,0.04939015169477326,0.23003199790616258,0.03178416570756349,0.895653945103546,3.7762130094194886,12,COMPLETE
IZ-C,0.94,1.137630973831775,1.1009578960670723,0.32245889447115417,163.7217416139155,112.62211537093927,0.0012594948590586522,0.45088029031916854,0.3202332654147044,0.13208148534386205,0.04526430803907168,0.054153171451299914,0.024736991936216285,0.8215672264513285,3.0781575471154925,48,COMPLETE
IZ-D,0.93,0.6944296024889887,1.4546293839583733,0.4130826498720508,163.1543215345358,99.6436617491062,0.0008789717222090727,0.5097456106152186,0.2886418253595304,0.1528407761250842,0.03466229293684728,0.2742804347041173,0.030505906814838897,0.7013107417473625,2.599665521061032,15,COMPLETE
IZ-E,0.93,0.6441722925871277,0.8764333961755362,0.4620122347376389,146.02759480874428,95.12005908677119,0.0014464198873232884,0.423129796633493,0.25516380921541176,0.07423316528162044,0.012453075702621075,0.2625099372749922,0.03113348007534237,0.8691354360502181,2.5678691144771766,44,COMPLETE
IZ-F,0.93,0.786416649584794,0.6988327212169914,0.3613246559758157,141.50943547933355,114.42326491060442,0.001028380841598985,0.5825734552812556,0.2615777769339918,0.1469324264780201,0.039014074814963204,0.2874531169553778,0.03190702531725884,0.720827254230047,3.5578231925991823,25,COMPLETE
IZ-G,0.93,0.7590157140622827,0.7322580760968933,0.4280376883793414,145.7735953176236,121.60509037468064,0.001497236167819842,0.42963948127164864,0.3371521658941857,0.1391201637839368,0.034933683485932336,0.11724638011335695,0.03780230593232456,0.8254327975802513,2.5789035763324515,1,COMPLETE
IZ-H,0.94,0.6070026379699416,0.8133292491863262,0.3584545742818386,148.84004080062897,118.35587078623375,0.001171964654670924,0.526451088859891,0.22989743544891222,0.06774545467110961,0.029174444166974678,0.1318657634538185,0.03523105255124846,0.8068418084170871,2.6144519232043617,19,COMPLETE
