study_name,value,c1,c2,c3,inputWeights_max,inputWeights_min,interSpeciesRate,keep,noCrossoverOff,probabilityAddLink_Large,probabilityAddLink_small,probabilityAddNodeLarge,probabilityAddNodeSmall,probabilityWeightMutated,threshold,number,state
IZ-A,0.94,0.8814862671706054,1.2757466675422207,0.31117341918449337,152.45825522875182,124.6176722311709,0.000601359353138608,0.48832638163431635,0.28059091364127997,0.18371738254383174,0.026554876614091026,0.24921688814086912,0.02137360741528102,0.791872813932337,3.36360788922389,8,COMPLETE
IZ-B,0.95,1.4974386273186684,0.8037679484838186,0.3498512782846025,155.1565963696462,106.93686117398033,0.0008115137200287563,0.447128972019717,0.17669614569173767,0.11051228699455029,0.024038160132071967,0.02983328436663837,0.03138054441478868,0.8595998933057665,2.419833877039193,22,COMPLETE
IZ-C,0.95,1.452850667053584,1.4705687453197929,0.49946541280721546,153.56371350824867,104.06938203743903,0.000821272421618627,0.5229467801612881,0.16986603977112125,0.1467869710621934,0.02345272087641172,0.02884484901067709,0.026837589616382954,0.7954441657878224,2.8737742221251867,10,COMPLETE
IZ-D,0.95,1.3862069283202823,0.9609151840414271,0.4890923379862855,150.5294293979415,93.92059940716427,0.0005972934240867666,0.4377532306902928,0.1814403741808869,0.18459721909198096,0.02539657279156515,0.23773238358413235,0.022158490741580657,0.7926161926627036,2.5330163608418803,3,COMPLETE
IZ-E,0.95,0.9689955377693537,0.800344765213962,0.36420431751095594,140.04839348674594,90.07460959597327,0.0008385544516951289,0.5862883215506738,0.28332668197188415,0.17054593571762167,0.03527515443144937,0.18219387820933527,0.032718146721555395,0.7773136394817836,2.5602196845699083,28,COMPLETE
IZ-F,0.95,1.17187604654726,0.5565783832545873,0.44718265523470324,154.60630757821622,107.9933785468589,0.0009300547695834416,0.4066025528145604,0.32296416564678915,0.19202453901784583,0.018650178079809912,0.13835091636955704,0.036550855843136054,0.8704650691732301,3.3547005431283283,7,COMPLETE
IZ-G,0.95,1.2592639955924405,0.8998544081776128,0.4258563450884918,138.65918963853622,124.47333461662076,0.001069367217126403,0.425625336442568,0.2690041867141909,0.13593905831234082,0.032204979260890255,0.23640207787210893,0.023268764851113836,0.7210411664862516,2.5775632918517726,18,COMPLETE
IZ-H,0.95,1.4908697384821086,0.8203872863332078,0.38977657597540255,151.0115280370464,113.01746567182973,0.000625755350241522,0.4014149273487422,0.345129608746466,0.12419049392576917,0.024776733513527112,0.36956069004182973,0.03231306969806973,0.7597799286841895,3.981025624503276,34,COMPLETE
