study_name,value,c1,c2,c3,inputWeights_max,inputWeights_min,interSpeciesRate,keep,noCrossoverOff,probabilityAddLink_Large,probabilityAddLink_small,probabilityAddNodeLarge,probabilityAddNodeSmall,probabilityWeightMutated,threshold
IZ_A,200,0.53,0.959,0.306,150,110,5.49e-4,0.577,0.329,0.0789,0.0436,0.0417,0.0305,0.851,3.241
IZ_B,200,0.7702126021231535,0.8612431368321107,0.41995021098776975,157.87889490747736,127.18478855719373,0.0012979566966483153,0.42706086638407365,0.2626895825420032,0.11684925593994158,0.03031818204138741,0.3352502559490088,0.03221471396206688,0.7774015368534323,3.7763074107483705
IZ_C,200,0.5438926651750758,0.7156911565649056,0.32602744686273333,158.6091638062549,108.97131765280434,0.0011463202978196849,0.5617909176802347,0.34931508321627247,0.15553837201398613,0.046977673570043434,0.134742254366647,0.020508607895287082,0.8973725634128377,2.2707130843172774
IZ_D,200,1.083207381667984,1.2566665611790429,0.4653110001017025,167.79188359483197,101.42276683131172,9.934707932802937e-4,0.5654753839327118,0.21916036427206484,0.18643786727115433,0.016442163841985477,0.33225302897229647,0.027582788260164654,0.7017927072411919,2.8431078146132798
IZ_E,200,1.4704148302356548,1.3219122562059722,0.31698515146502615,150.3661394321095,93.92965672378297,9.068335854428011e-4,0.5513671572042922,0.160129754783053,0.18084754870779435,0.033748484874794524,0.08477693708694756,0.037034135292783696,0.8888248067247185,3.2537863544965635
IZ_F,200,0.6197265285684774,0.9350344868857616,0.4857923603229662,166.56663542503856,100.25557868687886,0.001327697079665467,0.4073740641191942,0.28262058419057656,0.13380623059687854,0.030085601410599225,0.17301028686350509,0.03395711753306331,0.7663533147221956,2.252335096399305
IZ_G,196.87,0.8978110751549478,1.4684273719689456,0.3577665223524177,135.02685424171258,112.56371248563602,7.419903357851756e-4,0.48779874584512484,0.150847607528646,0.1571939461584576,0.04733410840693933,0.15460893963651876,0.028715183795321442,0.8429188203131148,3.064432563976781
IZ_H,200,1.1074003371764847,0.5006493982214695,0.36373767164689585,140.9514300667104,103.42672065162576,0.0009751869542205789,0.4009640521308798,0.19487228060443737,0.15906498974958108,0.028492957923370577,0.18195339359306445,0.03504833381630518,0.7397732134497473,3.5976193883238805
