study_name,value,c1,c2,c3,inputWeights_max,inputWeights_min,interSpeciesRate,keep,noCrossoverOff,probabilityAddLink_Large,probabilityAddLink_small,probabilityAddNodeLarge,probabilityAddNodeSmall,probabilityWeightMutated,threshold,number,state
IZ-A,0.94,1.1391384763618984,1.3625839467957679,0.38637648834017047,148.74272287338343,95.0116476298615,0.000956155868115464,0.43571152951627395,0.2248886407380805,0.060662110717577954,0.04831340273225902,0.023335980062927558,0.035893902769851334,0.8427936261035694,3.5060235818369225,33,COMPLETE
IZ-B,0.94,1.1335903606680178,1.2298244330331467,0.49650655416298695,147.92791867155177,125.8097753853783,0.0013753981315625051,0.4155581037935764,0.19431659580552113,0.0924951309763878,0.03337260883021008,0.29384464444354813,0.03304076959243049,0.8859944790563838,3.0357866030610734,37,COMPLETE
IZ-C,0.93,1.058569018270336,1.2302891648801266,0.3125248549234782,136.49855502043582,105.16122956637268,0.0009074743272144842,0.4213151181765783,0.2139027927036888,0.18378776275433156,0.03252797163551032,0.17947521646691886,0.030504527677220762,0.7028543619085429,3.05843557823124,5,COMPLETE
IZ-D,0.94,1.4344034451087224,0.9391488483071984,0.33046836610384744,152.34552776621388,106.28975472187538,0.0011169112353228198,0.49393357643402847,0.3031984452887231,0.08267796692779358,0.031092527335429845,0.2260783821119415,0.03555824513776553,0.7333194219572884,2.9341838574739603,30,COMPLETE
IZ-E,0.93,0.7536203951724164,1.252499210623382,0.3421491581761393,138.37465739964838,111.9824663924841,0.0008061343862770206,0.48799896321288205,0.2853508074296173,0.12490107723767337,0.03186948039076182,0.3728138863157716,0.020011995686277907,0.7479536291855043,3.257566861074582,7,COMPLETE
IZ-F,0.93,0.9076202587819904,1.1623076748516656,0.39559828904275773,149.60798993055428,114.0312592911423,0.0010842133280789263,0.4221331142101838,0.19802893829177753,0.16344449203492814,0.04763657822687134,0.12242359777355441,0.03455960223929486,0.8760718728323336,2.228148842635962,39,COMPLETE
IZ-G,0.95,0.7182299383304083,0.9154254165021759,0.48032093726392827,130.47761071200583,110.6609525270786,0.00115615341346038,0.4114826869929626,0.29320441060660507,0.14478294562786875,0.04232065921817269,0.14700030329620206,0.02714738395615461,0.8725303184738115,3.2276199903407417,36,COMPLETE
IZ-H,0.93,0.8570201545527536,0.8932867822407116,0.36765327806576775,148.8411505541807,108.66691512849842,0.0006569186610233633,0.43304650829339375,0.20784949306294553,0.11499908073285835,0.027600325543898782,0.16159710314908032,0.030418777914975582,0.7996864728411137,2.9576816126784986,15,COMPLETE
