problem,model,run,fitness
cartpole,IZ-G,4,500.0
cartpole,IZ-G,5,500.0
cartpole,IZ-G,6,500.0
cartpole,IZ-G,7,500.0
cartpole,IZ-G,8,497.63
cartpole,IZ-G,9,500.0
cartpole,IZ-G,10,439.29
cartpole,IZ-H,0,412.08
cartpole,IZ-H,1,383.56
cartpole,IZ-H,2,426.84
cartpole,IZ-H,3,435.96
cartpole,IZ-H,4,472.24
cartpole,IZ-H,5,500.0
cartpole,IZ-H,6,277.25
cartpole,IZ-H,7,415.22
cartpole,IZ-H,8,433.51
cartpole,IZ-H,9,434.5
cartpole,IZ-H,10,500.0
mountain,IZ-A,0,-110.66
mountain,IZ-A,1,-109.66
mountain,IZ-A,2,-116.25
mountain,IZ-A,3,-110.07
mountain,IZ-A,4,-116.93
mountain,IZ-A,5,-106.11
mountain,IZ-A,6,-111.11
mountain,IZ-A,7,-112.08
mountain,IZ-A,8,-114.75
mountain,IZ-A,9,-103.52
mountain,IZ-A,10,-111.1
mountain,IZ-B,0,-106.38
mountain,IZ-B,1,-113.65
mountain,IZ-B,2,-117.27
mountain,IZ-B,3,-114.6
mountain,IZ-B,4,-103.45
mountain,IZ-B,5,-109.21
mountain,IZ-B,6,-111.51
mountain,IZ-B,7,-113.16
mountain,IZ-B,8,-99.96
mountain,IZ-B,9,-107.92
mountain,IZ-B,10,-117.78
mountain,IZ-C,0,-116.65
mountain,IZ-C,1,-115.91
mountain,IZ-C,2,-115.82
mountain,IZ-C,3,-115.65
mountain,IZ-C,4,-115.75
mountain,IZ-C,5,-117.59
mountain,IZ-C,6,-117.35
mountain,IZ-C,7,-117.43
mountain,IZ-C,8,-118.27
mountain,IZ-C,9,-115.88
mountain,IZ-C,10,-120.22
mountain,IZ-D,0,-117.61
mountain,IZ-D,1,-115.87
mountain,IZ-D,2,-122.23
mountain,IZ-D,3,-119.78
mountain,IZ-D,4,-112.19
mountain,IZ-D,5,-117.86
mountain,IZ-D,6,-98.94
mountain,IZ-D,7,-100.45
mountain,IZ-D,8,-116.51
mountain,IZ-D,9,-116.24
mountain,IZ-D,10,-116.25
mountain,IZ-E,0,-117.07
mountain,IZ-E,1,-110.43
mountain,IZ-E,2,-120.93
mountain,IZ-E,3,-117.49
mountain,IZ-E,4,-115.97
mountain,IZ-E,5,-104.21
mountain,IZ-E,6,-117.35
mountain,IZ-E,7,-102.61
mountain,IZ-E,8,-111.66
mountain,IZ-E,9,-117.88
mountain,IZ-E,10,-108.73
mountain,IZ-F,0,-114.44
mountain,IZ-F,1,-116.57
mountain,IZ-F,2,-110.14
mountain,IZ-F,3,-111.36
mountain,IZ-F,4,-118.02
mountain,IZ-F,5,-113.04
mountain,IZ-F,6,-112.01
mountain,IZ-F,7,-124.34
mountain,IZ-F,8,-111.4
mountain,IZ-F,9,-108.32
mountain,IZ-F,10,-106.28
mountain,IZ-G,0,-107.24
mountain,IZ-G,1,-108.96
mountain,IZ-G,2,-114.43
mountain,IZ-G,3,-119.02
mountain,IZ-G,4,-115.75
mountain,IZ-G,5,-107.72
mountain,IZ-G,6,-117.55
mountain,IZ-G,7,-104.74
mountain,IZ-G,8,-106.33
mountain,IZ-G,9,-107.13
mountain,IZ-G,10,-115.9
mountain,IZ-H,0,-117.78
mountain,IZ-H,1,-117.72
mountain,IZ-H,2,-116.34
mountain,IZ-H,3,-117.76
mountain,IZ-H,4,-115.72
mountain,IZ-H,5,-115.4
mountain,IZ-H,6,-105.18
mountain,IZ-H,7,-116.58
mountain,IZ-H,8,-117.04
mountain,IZ-H,9,-119.59
mountain,IZ-H,10,-119.6
