dataset,encoder,decoder,modelo,n,min,max,mean,std,median
bc,ss,fs,IZ-F,11,0.88,0.93,0.8954545454545456,0.015724907862137944,0.89
bc,ss,fs,IZ-G,11,0.85,0.92,0.8881818181818182,0.025226248955475674,0.88
bc,ss,fs,IZ-H,11,0.85,0.93,0.8863636363636364,0.02335496832484571,0.88
bc,ss,v,IZ-A,11,0.86,0.94,0.8936363636363637,0.02500908925679913,0.89
bc,ss,v,IZ-B,11,0.86,0.93,0.9027272727272727,0.022843339988236896,0.91
bc,ss,v,IZ-C,11,0.87,0.93,0.9018181818181819,0.021362669223756594,0.91
bc,ss,v,IZ-D,11,0.86,0.92,0.8900000000000001,0.018439088914585792,0.89
bc,ss,v,IZ-E,11,0.88,0.92,0.8945454545454545,0.013684762594679076,0.89
bc,ss,v,IZ-F,11,0.86,0.92,0.8927272727272727,0.018488325554743525,0.89
bc,ss,v,IZ-G,11,0.89,0.93,0.9081818181818182,0.012504544628399573,0.91
bc,ss,v,IZ-H,11,0.85,0.95,0.9027272727272728,0.02649185123426034,0.9
bc,t,fs,IZ-A,11,0.83,0.9,0.8609090909090908,0.021191765124474883,0.86
bc,t,fs,IZ-B,11,0.83,0.88,0.8509090909090908,0.014459976109624436,0.85
bc,t,fs,IZ-C,11,0.84,0.88,0.8581818181818182,0.012504544628399573,0.86
bc,t,fs,IZ-D,11,0.83,0.89,0.8472727272727273,0.016180796699117823,0.84
bc,t,fs,IZ-E,11,0.84,0.88,0.8600000000000001,0.016733200530681527,0.86
bc,t,fs,IZ-F,11,0.83,0.88,0.8572727272727273,0.016787441193290367,0.86
bc,t,fs,IZ-G,11,0.83,0.91,0.859090909090909,0.021191765124474883,0.86
bc,t,fs,IZ-H,11,0.84,0.9,0.8618181818181818,0.018877596148970794,0.86
bc,t,v,IZ-A,11,0.86,0.93,0.8972727272727273,0.02240129866365302,0.9
bc,t,v,IZ-B,11,0.88,0.92,0.8963636363636365,0.012862913567872006,0.89
bc,t,v,IZ-C,11,0.87,0.94,0.9109090909090909,0.02427119504867672,0.92
bc,t,v,IZ-D,11,0.87,0.93,0.9081818181818182,0.018877596148970794,0.91
bc,t,v,IZ-E,11,0.89,0.94,0.9127272727272728,0.015550504230351555,0.91
bc,t,v,IZ-F,11,0.85,0.93,0.8854545454545453,0.022962419891482,0.89
bc,t,v,IZ-G,11,0.84,0.93,0.8954545454545456,0.02769968821616461,0.9
bc,t,v,IZ-H,11,0.89,0.93,0.9081818181818183,0.012504544628399573,0.9
