dataset,encoder,decoder,model,run,nodes,connections,hidden
bc,ss,v,IZ-D,1,122,240,0
bc,ss,v,IZ-D,10,123,245,1
bc,ss,v,IZ-D,2,123,241,1
bc,ss,v,IZ-D,3,125,243,3
bc,ss,v,IZ-D,4,124,243,1
bc,ss,v,IZ-D,5,126,245,4
bc,ss,v,IZ-D,6,124,242,2
bc,ss,v,IZ-D,7,122,241,0
bc,ss,v,IZ-D,8,124,243,2
bc,ss,v,IZ-D,9,125,243,3
bc,ss,v,IZ-E,0,123,241,1
bc,ss,v,IZ-E,1,125,245,3
bc,ss,v,IZ-E,10,123,241,1
bc,ss,v,IZ-E,2,124,244,2
bc,ss,v,IZ-E,3,124,243,1
bc,ss,v,IZ-E,4,122,241,0
bc,ss,v,IZ-E,5,122,241,0
bc,ss,v,IZ-E,6,123,242,1
bc,ss,v,IZ-E,7,123,241,1
bc,ss,v,IZ-E,8,123,241,1
bc,ss,v,IZ-E,9,123,241,1
bc,ss,v,IZ-F,0,122,240,0
bc,ss,v,IZ-F,1,122,244,0
bc,ss,v,IZ-F,10,122,245,0
bc,ss,v,IZ-F,2,126,244,4
bc,ss,v,IZ-F,3,122,240,0
bc,ss,v,IZ-F,4,123,242,1
bc,ss,v,IZ-F,5,124,243,2
bc,ss,v,IZ-F,6,123,243,1
bc,ss,v,IZ-F,7,124,243,2
bc,ss,v,IZ-F,8,123,242,1
bc,ss,v,IZ-F,9,123,243,1
bc,ss,v,IZ-G,0,123,243,1
bc,ss,v,IZ-G,1,127,248,5
bc,ss,v,IZ-G,10,122,241,0
bc,ss,v,IZ-G,2,125,245,3
bc,ss,v,IZ-G,3,122,241,0
bc,ss,v,IZ-G,4,123,241,1
bc,ss,v,IZ-G,5,122,239,0
bc,ss,v,IZ-G,6,122,241,0
bc,ss,v,IZ-G,7,123,242,1
bc,ss,v,IZ-G,8,124,243,2
bc,ss,v,IZ-G,9,122,241,0
bc,ss,v,IZ-H,0,123,243,1
bc,ss,v,IZ-H,1,122,240,0
bc,ss,v,IZ-H,10,123,242,1
bc,ss,v,IZ-H,2,123,242,1
bc,ss,v,IZ-H,3,124,243,2
bc,ss,v,IZ-H,4,122,242,0
bc,ss,v,IZ-H,5,123,242,1
bc,ss,v,IZ-H,6,123,242,1
bc,ss,v,IZ-H,7,123,242,1
bc,ss,v,IZ-H,8,124,244,2
bc,ss,v,IZ-H,9,122,241,0
bc,t,fs,IZ-A,0,123,241,1
bc,t,fs,IZ-A,1,123,244,1
bc,t,fs,IZ-A,10,122,241,0
bc,t,fs,IZ-A,2,124,242,2
bc,t,fs,IZ-A,3,122,241,0
bc,t,fs,IZ-A,4,122,240,0
bc,t,fs,IZ-A,5,124,244,2
bc,t,fs,IZ-A,6,123,241,1
bc,t,fs,IZ-A,7,123,241,1
bc,t,fs,IZ-A,8,123,241,1
bc,t,fs,IZ-A,9,123,242,1
bc,t,fs,IZ-B,0,124,243,2
bc,t,fs,IZ-B,1,122,242,0
bc,t,fs,IZ-B,10,124,244,2
bc,t,fs,IZ-B,2,122,242,0
bc,t,fs,IZ-B,3,124,243,2
bc,t,fs,IZ-B,4,122,242,0
bc,t,fs,IZ-B,5,124,245,2
bc,t,fs,IZ-B,6,126,244,4
bc,t,fs,IZ-B,7,123,241,1
bc,t,fs,IZ-B,8,125,244,3
bc,t,fs,IZ-B,9,122,242,0
bc,t,fs,IZ-C,0,123,241,1
bc,t,fs,IZ-C,1,124,242,2
bc,t,fs,IZ-C,10,122,241,0
bc,t,fs,IZ-C,2,123,241,1
bc,t,fs,IZ-C,3,124,243,2
bc,t,fs,IZ-C,4,122,241,0
bc,t,fs,IZ-C,5,123,241,1
bc,t,fs,IZ-C,6,124,242,2
bc,t,fs,IZ-C,7,122,240,0
bc,t,fs,IZ-C,8,122,241,0
bc,t,fs,IZ-C,9,123,241,1
bc,t,fs,IZ-D,0,123,483,1
bc,t,fs,IZ-D,1,124,484,2
bc,t,fs,IZ-D,10,122,482,0
bc,t,fs,IZ-D,2,124,484,2
bc,t,fs,IZ-D,3,125,484,3
bc,t,fs,IZ-D,4,123,484,1
bc,t,fs,IZ-D,5,126,486,4
bc,t,fs,IZ-D,6,126,484,4
bc,t,fs,IZ-D,7,123,482,1
bc,t,fs,IZ-D,8,124,487,2
bc,t,fs,IZ-D,9,123,482,1
bc,t,fs,IZ-E,0,122,242,0
bc,t,fs,IZ-E,1,123,241,1
bc,t,fs,IZ-E,10,122,244,0
bc,t,fs,IZ-E,2,125,246,3
bc,t,fs,IZ-E,3,125,244,3
bc,t,fs,IZ-E,4,123,241,1
bc,t,fs,IZ-E,5,124,243,2
bc,t,fs,IZ-E,6,124,242,2
bc,t,fs,IZ-E,7,123,244,1
bc,t,fs,IZ-E,8,126,246,4
bc,t,fs,IZ-E,9,122,242,0
bc,t,fs,IZ-F,0,122,484,0
bc,t,fs,IZ-F,1,123,482,1
bc,t,fs,IZ-F,10,124,489,2
bc,t,fs,IZ-F,2,127,490,5
bc,t,fs,IZ-F,3,125,485,3
bc,t,fs,IZ-F,4,125,486,3
bc,t,fs,IZ-F,5,124,484,2
bc,t,fs,IZ-F,6,125,485,3
bc,t,fs,IZ-F,7,124,486,2
bc,t,fs,IZ-F,8,126,488,4
bc,t,fs,IZ-F,9,123,487,1
bc,t,fs,IZ-G,0,124,244,2
bc,t,fs,IZ-G,1,123,241,1
bc,t,fs,IZ-G,10,126,246,4
bc,t,fs,IZ-G,2,125,243,3
bc,t,fs,IZ-G,3,125,244,3
bc,t,fs,IZ-G,4,127,247,5
bc,t,fs,IZ-G,5,122,241,0
bc,t,fs,IZ-G,6,122,241,0
bc,t,fs,IZ-G,7,123,243,1
bc,t,fs,IZ-G,8,123,242,1
bc,t,fs,IZ-G,9,122,241,0
bc,t,fs,IZ-H,0,125,486,3
bc,t,fs,IZ-H,1,128,486,6
bc,t,fs,IZ-H,10,126,486,4
bc,t,fs,IZ-H,2,125,483,3
bc,t,fs,IZ-H,3,127,486,5
bc,t,fs,IZ-H,4,127,489,5
bc,t,fs,IZ-H,5,124,483,2
bc,t,fs,IZ-H,6,124,483,2
bc,t,fs,IZ-H,7,125,486,3
bc,t,fs,IZ-H,8,124,484,2
bc,t,fs,IZ-H,9,123,483,1
bc,t,v,IZ-A,0,123,242,1
bc,t,v,IZ-A,1,123,242,1
bc,t,v,IZ-A,10,122,240,0
bc,t,v,IZ-A,2,122,240,0
bc,t,v,IZ-A,3,123,243,1
bc,t,v,IZ-A,4,123,241,1
bc,t,v,IZ-A,5,123,241,1
bc,t,v,IZ-A,6,123,241,1
bc,t,v,IZ-A,7,122,241,0
bc,t,v,IZ-A,8,122,242,0
bc,t,v,IZ-A,9,122,242,0
bc,t,v,IZ-B,0,123,482,1
bc,t,v,IZ-B,1,125,485,3
bc,t,v,IZ-B,10,123,481,1
bc,t,v,IZ-B,2,124,482,2
bc,t,v,IZ-B,3,124,485,2
bc,t,v,IZ-B,4,124,482,2
bc,t,v,IZ-B,5,123,481,1
bc,t,v,IZ-B,6,123,481,1
