dataset,encoder,decoder,model,run,fitness
iris,ss,v,IZ-A,2,0.83
iris,ss,v,IZ-A,3,0.93
iris,ss,v,IZ-A,4,0.91
iris,ss,v,IZ-A,5,0.8
iris,ss,v,IZ-A,6,0.86
iris,ss,v,IZ-A,7,0.92
iris,ss,v,IZ-A,8,0.93
iris,ss,v,IZ-A,9,0.91
iris,ss,v,IZ-A,10,0.88
iris,ss,v,IZ-B,0,0.91
iris,ss,v,IZ-B,1,0.86
iris,ss,v,IZ-B,2,0.89
iris,ss,v,IZ-B,3,0.93
iris,ss,v,IZ-B,4,0.93
iris,ss,v,IZ-B,5,0.83
iris,ss,v,IZ-B,6,0.86
iris,ss,v,IZ-B,7,0.91
iris,ss,v,IZ-B,8,0.91
iris,ss,v,IZ-B,9,0.85
iris,ss,v,IZ-B,10,0.9
iris,ss,v,IZ-C,0,0.93
iris,ss,v,IZ-C,1,0.92
iris,ss,v,IZ-C,2,0.95
iris,ss,v,IZ-C,3,0.93
iris,ss,v,IZ-C,4,0.94
iris,ss,v,IZ-C,5,0.93
iris,ss,v,IZ-C,6,0.93
iris,ss,v,IZ-C,7,0.93
iris,ss,v,IZ-C,8,0.93
iris,ss,v,IZ-C,9,0.94
iris,ss,v,IZ-C,10,0.94
iris,ss,v,IZ-D,0,0.89
iris,ss,v,IZ-D,1,0.81
iris,ss,v,IZ-D,2,0.89
iris,ss,v,IZ-D,3,0.93
iris,ss,v,IZ-D,4,0.91
iris,ss,v,IZ-D,5,0.93
iris,ss,v,IZ-D,6,0.91
iris,ss,v,IZ-D,7,0.92
iris,ss,v,IZ-D,8,0.89
iris,ss,v,IZ-D,9,0.91
iris,ss,v,IZ-D,10,0.92
iris,ss,v,IZ-E,0,0.9
iris,ss,v,IZ-E,1,0.94
iris,ss,v,IZ-E,2,0.91
iris,ss,v,IZ-E,3,0.85
iris,ss,v,IZ-E,4,0.86
iris,ss,v,IZ-E,5,0.81
iris,ss,v,IZ-E,6,0.92
iris,ss,v,IZ-E,7,0.9
iris,ss,v,IZ-E,8,0.85
iris,ss,v,IZ-E,9,0.88
iris,ss,v,IZ-E,10,0.92
iris,ss,v,IZ-F,0,0.92
iris,ss,v,IZ-F,1,0.85
iris,ss,v,IZ-F,2,0.89
