study_name,number,value,c1,c2,c3,inputWeights_max,inputWeights_min,interSpeciesRate,keep,noCrossoverOff,probabilityAddLink_Large,probabilityAddLink_small,probabilityAddNodeLarge,probabilityAddNodeSmall,probabilityWeightMutated,threshold,state
IZ-A,35,-87.92,1.0850072019818786,0.8696587372619604,0.4435726957224704,100.21317064368635,18.460744872322575,0.000945769974590819,0.42440879743074633,0.17272540268663428,0.14968347027594536,0.04372751997383024,0.07547328341540921,0.03147484297154692,0.824149566428749,3.2920730288624442,COMPLETE
IZ-B,18,-88.39,1.256363840166984,1.036850201624226,0.3629688771690557,129.30229915350426,13.972780499524731,0.0010502075066036855,0.4299987373544361,0.32876906180740434,0.14782416738778,0.03303899736833217,0.02196645765622754,0.029855327291177434,0.8376065647638007,2.7120777667097213,COMPLETE
IZ-C,12,-92.78,0.723802150279231,1.23780586642908,0.4968761199023195,172.05059201503366,48.17872782280851,0.0012899547348038634,0.4498044050463387,0.3175906003273276,0.10352408295402521,0.03468043909947909,0.09625437867131073,0.032105656783878264,0.81695913591271,2.837555348491292,COMPLETE
IZ-D,33,-99.73,0.9937250946831163,0.977201590728148,0.32425721579420724,75.24432381599894,33.171151438323314,0.0010066701626040356,0.46847255767304397,0.177564221016729,0.10173981069643317,0.016286446878127636,0.22123117879780643,0.03053452606451261,0.8279143653516462,2.3871598035083936,COMPLETE
IZ-E,30,-85.96,1.186810370965527,0.7277248587805203,0.3883954489094087,222.8573802714698,32.5459097549437,0.001229136713271532,0.42078463577288416,0.34932352024534374,0.14710651545873216,0.029575064673135486,0.03356880429243997,0.025103528206370934,0.731109082890689,2.6863266672338986,COMPLETE
IZ-F,47,-89.37,0.6528378150571039,1.0786219905128889,0.3614814558109982,126.11448203325276,10.133150463006778,0.0009669430797672856,0.5794783097894445,0.32461433812821056,0.15794484001363024,0.01028603080827871,0.28408044616661693,0.0356103168940519,0.860212192577818,2.5887477067095404,COMPLETE
IZ-G,40,-90.62,1.0353648351512237,1.2707371014951068,0.41179246865549257,146.07045018517945,7.9226800514844555,0.0007576307362339319,0.5207971675677745,0.26898763254970837,0.18859457363782028,0.019568249852387785,0.3638787169776907,0.03813017266163544,0.7268237823765819,2.2649111093650722,COMPLETE
IZ-H,43,-89.76,0.691782697608116,1.405342759394624,0.4800529953623719,210.08083631534626,56.92986084839028,0.0005019294979809843,0.4089636980067645,0.3473553209143503,0.15198055837071467,0.028818384441593178,0.022062321041331767,0.030273160476638764,0.788278735736381,3.082776695501906,COMPLETE
