study_name,value,c1,c2,c3,inputWeights_max,inputWeights_min,interSpeciesRate,keep,noCrossoverOff,probabilityAddLink_Large,probabilityAddLink_small,probabilityAddNodeLarge,probabilityAddNodeSmall,probabilityWeightMutated,threshold,number,state
IZ-A,0.89,1.4889603778005178,1.3806761662120473,0.38569594779887106,150.97159142127543,110.80349039821907,0.000865334965864632,0.44882424071237526,0.23759388813336485,0.13687002298889647,0.0345411299174068,0.21034223480224412,0.02676497919157076,0.831551914364016,3.500221447245134,25,COMPLETE
IZ-B,0.85,1.0812780859889761,0.6484886431657737,0.31036236247650256,137.6132537045201,120.95364221417901,0.000962560147871074,0.461150695143566,0.20993574383265545,0.10771315126306856,0.04999755632882862,0.12492370897866568,0.033667144109100655,0.8362115093937181,3.3689585322176585,44,COMPLETE
IZ-C,0.88,1.0767197860280806,0.8878429534462492,0.4540200979236043,169.2733395096771,104.80505087129471,0.0014895657705853319,0.45897111446781363,0.24946358571332627,0.12283491246954771,0.01185453745870205,0.32356814912501364,0.03737219008348217,0.765075460996401,3.7539158662618597,9,COMPLETE
IZ-D,0.87,1.187207376794305,1.3752131894293518,0.38765869845920037,152.6102688174844,119.93814870926163,0.0011287641092541986,0.5238116854022147,0.2555542791700801,0.18162618532978692,0.020801154855408597,0.2784522647212554,0.02220658105316629,0.7866420716091038,2.745995545885333,1,COMPLETE
IZ-E,0.9,0.9866896887542433,1.1864785516960308,0.39206939940813956,156.44600506892303,91.1979981830506,0.0011219960986343285,0.426846490230756,0.2767330548666745,0.13291063966600275,0.014302715652904755,0.1989065212310561,0.025735554191724495,0.8956173680425815,3.9143005855653716,17,COMPLETE
IZ-F,0.84,0.7966920983088472,1.2392384940126904,0.3817449007496503,142.18006323368004,98.20369431789582,0.0005865333429807468,0.4077356738620689,0.28885945873570945,0.18973733130655684,0.026653207612832748,0.3127332535417273,0.037159824527009604,0.8798004162229929,3.4391908203662296,28,COMPLETE
IZ-G,0.88,0.8126864264375474,0.6304635172715374,0.31378505764406067,148.555692389744,125.13658629391901,0.0006569883645087947,0.4848374698680664,0.3242533364961431,0.1544722072324148,0.04023516599362495,0.0707256471002977,0.02981625915673094,0.8909719211204917,3.3293618440195525,42,COMPLETE
IZ-H,0.88,1.3208752189950053,0.831489474172415,0.439003323142828,159.2504106736076,119.67400264176253,0.0009639502771323035,0.40080865603827376,0.3313237352615304,0.06630816603909509,0.018938769474037283,0.33913318902230677,0.023694285656933906,0.8255922662592663,3.6058607746989026,48,COMPLETE
