study_name,value,c1,c2,c3,inputWeights_max,inputWeights_min,interSpeciesRate,keep,noCrossoverOff,probabilityAddLink_Large,probabilityAddLink_small,probabilityAddNodeLarge,probabilityAddNodeSmall,probabilityWeightMutated,threshold,number,state
IZ-A,0.92,0.873,0.982,0.382,150.0,110.0,0.001,0.424,0.242,0.106,0.016,0.293,0.03,0.723,3.907,0,COMPLETE
IZ-B,0.9,1.431784666155635,0.5102087620379099,0.48685713132302627,132.9951507678634,98.90502682972834,0.0007248890075156675,0.5380460491156274,0.30742325857528574,0.1629810279814719,0.033430149434633974,0.18289340209665755,0.03574042827568876,0.793292209736676,2.350721259567469,31,COMPLETE
IZ-C,0.9,1.2217626992937625,0.5503023327244053,0.46955013819594155,147.6357862549213,111.25677344911138,0.0011614822105771312,0.4920423619675673,0.2889954816186312,0.11921872944360336,0.012308881973390626,0.13631675796984208,0.024524796123079166,0.7907549341133016,3.315392658470786,41,COMPLETE
IZ-D,0.9,0.7041077443012718,0.9272896806051375,0.372012518587658,160.97473525889947,92.76147381160483,0.0006869344811772196,0.5753109204921844,0.22704335545598037,0.15364184786151175,0.02734224312712294,0.350311322311878,0.02287892977186608,0.8731724252836034,3.771714071362048,22,COMPLETE
IZ-E,0.89,0.7496368280527396,1.405255568920736,0.400692088653765,135.55533324672285,116.97556131283208,0.001154858750295251,0.42430400987453565,0.28745955436573817,0.17561865363403434,0.04614527939696507,0.043703699947601045,0.03608136242353796,0.870404509616013,3.1231787957020596,1,COMPLETE
IZ-F,0.91,0.9460703443985133,1.0221805021687405,0.3039178559857158,141.2008349844704,116.44610811331155,0.0007673342014008317,0.4512857522295342,0.2152448279535551,0.19951661515598418,0.0411088939975178,0.2798988193052574,0.028200327542188132,0.8498646730586188,3.7890784092257963,1,COMPLETE
IZ-G,0.9,0.9129975717763134,0.9029296635553827,0.33499267197844124,159.28969139320165,108.00428676528271,0.0009906779638749947,0.5083714640499155,0.28475149946496764,0.1087572545759312,0.03596879659863352,0.3057661107457893,0.032559380250820794,0.7298358135207365,2.789080858726561,37,COMPLETE
IZ-H,0.91,0.9969687573931725,0.7852681862411142,0.44172628889425436,131.90943845077362,101.8494394502915,0.001200646920002327,0.4402099660123423,0.24390298867888996,0.15713733872789482,0.020698120535935574,0.0764263976990971,0.03596630260177088,0.784366915380624,3.7118834361727715,38,COMPLETE
