study_name,value,c1,c2,c3,inputWeights_max,inputWeights_min,interSpeciesRate,keep,noCrossoverOff,probabilityAddLink_Large,probabilityAddLink_small,probabilityAddNodeLarge,probabilityAddNodeSmall,probabilityWeightMutated,threshold,number,state
IZ-A,0.93,1.0449853007919965,1.474714711394419,0.4158810925770375,133.42492772700396,105.19523677975377,0.0013532310160384994,0.41854706721546386,0.3071063621134841,0.14003764435736593,0.02544758253668021,0.027443786850506257,0.025347948271078554,0.7610077302912253,2.3381979014123218,9,COMPLETE
IZ-B,0.93,0.5238748202118462,1.263303054038579,0.48867157372260306,145.96074742749323,124.75038315251382,0.0007643052153365295,0.4014561942262347,0.22839904332852126,0.1757043209320424,0.02197155211378016,0.2502898709529624,0.022208917515420146,0.8762297845714851,2.0646190972535083,20,COMPLETE
IZ-C,0.94,1.1743191688359471,0.5961772962772441,0.47269672258345063,145.6943362973774,92.91247261830821,0.0012245966833522998,0.4242256316867682,0.2022195816312153,0.1706394469808596,0.03198651882661813,0.35359862101931927,0.02988477678800263,0.7243771086908252,3.7467854769078794,9,COMPLETE
IZ-D,0.93,0.776,0.984,0.405,150.0,110.0,0.001,0.519,0.217,0.188,0.014,0.084,0.026,0.864,2.587,0,COMPLETE
IZ-E,0.94,0.8537104996542614,0.6856279694429286,0.30774100430780293,133.61847290457433,122.76099678069389,0.0013127956262999085,0.41245531256347767,0.23221446578426092,0.1994723621265881,0.033048453841254224,0.39368263916204604,0.020384364213287327,0.776161068879806,2.266886700940761,4,COMPLETE
IZ-F,0.93,0.5158570651812681,1.2826765146812331,0.4156494374326633,148.87756900352142,112.4186668001946,0.0013601676218977707,0.5604069261050431,0.22502763234378234,0.08683548198601523,0.03849397774330931,0.3238311131883209,0.028436150907594278,0.7765943632705999,2.963444981173208,17,COMPLETE
IZ-G,0.94,1.120666168789555,1.196323271767682,0.44303101242379456,150.85142638858613,125.59134487452135,0.0012879415612371654,0.46326268972499707,0.2549337894511658,0.18918412011935648,0.03704066941362409,0.33740718750702714,0.030583695329498214,0.8879801687673848,3.413878187670835,15,COMPLETE
IZ-H,0.94,1.0389197753672679,0.9254138756521523,0.33004790920786437,141.76665084080346,100.04818178845318,0.001102580653399965,0.4784790900685704,0.23842963034955203,0.05145725273059287,0.022740286563169364,0.371503554414595,0.03114269593263829,0.8548752145720637,3.013385116268628,1,COMPLETE
