study_name,value,c1,c2,c3,inputWeights_max,inputWeights_min,interSpeciesRate,keep,noCrossoverOff,probabilityAddLink_Large,probabilityAddLink_small,probabilityAddNodeLarge,probabilityAddNodeSmall,probabilityWeightMutated,threshold,number,state
IZ-A,0.96,0.5861340325536732,1.2320609468763575,0.35931888186143784,140.76491152363863,95.38315050561646,0.0007771839957178019,0.4826409331363875,0.20357433391311808,0.14709074133296998,0.04394373782987025,0.03144393458174703,0.03445403149937211,0.7965356227171787,3.829400540254646,3,COMPLETE
IZ-B,0.94,0.5186661209372354,1.489584808072797,0.37337791313294816,151.70998156553208,90.1222584782745,0.00132050425376721,0.5727191031836617,0.2733523012207961,0.07719991690563169,0.04340343888342198,0.12374488282011978,0.0368198256085396,0.8484007442550008,3.2841838958308194,31,COMPLETE
IZ-C,0.97,0.8388139829749235,0.8734969445985973,0.31925081844965597,141.58818514722026,123.24667449085987,0.001125009910473999,0.4573236187948502,0.3128191064971711,0.17366940517414844,0.010807312594893814,0.1592536532474348,0.026439527491838862,0.7880409033192608,3.9630660222394116,14,COMPLETE
IZ-D,0.96,0.7453452398847012,0.8475405323833373,0.40686840762370413,155.0223917216755,119.81864794574923,0.0011509783736036111,0.5279061041281926,0.16045712328405118,0.18530154594594517,0.012758248159134875,0.08516840539410588,0.03218222708591341,0.7085647275730153,3.450790060239031,9,COMPLETE
IZ-E,0.96,1.0712570198435307,0.8130371399121618,0.4486000196254958,142.2137537070064,99.3984780147067,0.0006031073204415904,0.4080829769559809,0.18323195726612418,0.17345607784176834,0.04250932653393163,0.20014721750304565,0.03193678202837616,0.7607314128648897,3.7111598369372354,4,COMPLETE
IZ-F,0.94,0.928490638231374,1.276071366011923,0.3803519683024186,163.53897808660523,122.3768474266666,0.0011685834735423774,0.5627206345057632,0.2946392542121106,0.18762553675189264,0.03097432104626518,0.16791286226576224,0.025727851208572572,0.7398863746995513,3.8552435995396475,33,COMPLETE
IZ-G,0.95,1.4532226508975028,1.011058348903664,0.3427448326948437,137.19280992858666,95.22717432322776,0.000942159664896677,0.568160782634826,0.3350800213051382,0.1686980792287272,0.013459944247962296,0.37597211686045406,0.03518372348491683,0.7165312491521431,3.0904611443138306,25,COMPLETE
IZ-H,0.95,0.5300249575543119,0.6913825601339244,0.36261753858399975,162.39441214088248,118.37572394728724,0.000831789096084943,0.511058214918916,0.15156132069288264,0.1991956665430374,0.010387708941935641,0.03961663402818766,0.039944363870906475,0.7885877647238161,3.979553591017467,10,COMPLETE
