study_name,value,c1,c2,c3,inputWeights_max,inputWeights_min,interSpeciesRate,keep,noCrossoverOff,probabilityAddLink_Large,probabilityAddLink_small,probabilityAddNodeLarge,probabilityAddNodeSmall,probabilityWeightMutated,threshold,number,state
IZ-A,0.95,0.8949785087425796,0.7183967166004893,0.4139586624515414,132.9321694578788,129.27205464771694,0.001089942457919601,0.4959213785603442,0.1893282500116726,0.06939313420007549,0.02931882357620748,0.021222233813024807,0.029633813218401715,0.7614192480483408,2.522074653257393,14,COMPLETE
IZ-B,0.95,1.379,0.91,0.36,150.0,110.0,0.001,0.456,0.22,0.114,0.029,0.03,0.029,0.743,2.656,0,COMPLETE
IZ-C,0.95,1.3543811181620464,0.7976202627733012,0.30980919404845947,141.34117294594537,108.30232735230094,0.0005857618818124193,0.5730061587274417,0.3235829266021727,0.1525157709295547,0.01097355276923755,0.21464367009890867,0.03587295944744749,0.8035651482535977,3.0629495480731097,1,COMPLETE
IZ-D,0.95,1.1169597384787808,1.143055710804886,0.49516615596765984,169.10944993663028,90.41230589464881,0.0008559606187856146,0.40098189728484535,0.2863024539462544,0.16685329802770316,0.011211874878888587,0.17076319569106163,0.020831016048976535,0.8933239304267845,3.1654665165208367,10,COMPLETE
IZ-E,0.95,1.1699651162785631,1.0414800081324527,0.4536203955873063,163.7134394819091,114.54974017833908,0.0007311134394068694,0.598721919413995,0.30621335409576234,0.12679377012501358,0.04320773600188905,0.058357090996373526,0.022006773978738178,0.887085013235851,3.434234780648267,5,COMPLETE
IZ-F,0.95,1.06457966362628,1.0940947566570016,0.3802186432754027,157.81238835240075,116.06251498025625,0.0011411840659397298,0.5331065478272682,0.2810369919498087,0.0912817855451189,0.010379051259428253,0.13414200109538485,0.03147737431723776,0.7830568548596096,3.9684534018082687,13,COMPLETE
IZ-G,0.95,1.1835169745626573,0.7323584262519091,0.3003989605323319,134.89391423720963,97.39638507232253,0.000908382066158881,0.5245847070310563,0.33695695217234617,0.09310316813347076,0.0230782039087808,0.05571543425128487,0.022621192283113975,0.8135329153675829,2.762680329869033,35,COMPLETE
IZ-H,0.95,0.8057280107346413,1.2402650243716744,0.4232918341104655,140.24663808953204,108.22150398713904,0.0009212401850111145,0.5965428429875459,0.276934426007294,0.19946247983167253,0.021458767332641543,0.29501173820108934,0.02300322677537098,0.8291208938443579,3.981557072611839,13,COMPLETE
