study_name,value,c1,c2,c3,inputWeights_max,inputWeights_min,interSpeciesRate,keep,noCrossoverOff,probabilityAddLink_Large,probabilityAddLink_small,probabilityAddNodeLarge,probabilityAddNodeSmall,probabilityWeightMutated,threshold,number,state
IZ-A,0.82,0.9414681520430958,1.2429033232973123,0.36176760455106166,145.96759993981345,99.41561601313903,0.001085605140985889,0.41814976503532697,0.15396958406937614,0.16222515686457228,0.026030551674754557,0.2987735044027068,0.036260088844896815,0.8390492906772384,3.7767754055271787,3,COMPLETE
IZ-B,0.86,0.8972959871758214,0.9651220009807664,0.4137163811435946,154.7776345153569,120.86743978457574,0.00131831016792514,0.4260080774770896,0.2837155326870333,0.07263120587912483,0.04995737215027533,0.07619918817254848,0.029730198628036993,0.8940428470853634,3.7896170305600405,21,COMPLETE
IZ-C,0.85,1.4878660510073403,0.9786252017140649,0.392471843550019,147.22169318247293,100.87824427772827,0.0011928904054225658,0.4681914033705634,0.30258603727105204,0.19781351718695087,0.024898447784310773,0.03415172004490454,0.027536589699906456,0.8236215636939731,3.254442423183239,12,COMPLETE
IZ-D,0.85,1.3871511459560644,1.1131986365963604,0.33007636251911304,138.98937533737586,103.67714314131462,0.001262685463548187,0.4222932925328381,0.3074373181343788,0.17591895288417003,0.0360495297097227,0.12567227389781438,0.02191129758256201,0.8288876055732518,3.806594109641268,18,COMPLETE
IZ-E,0.9,1.2538124939020154,0.7212677855363103,0.371675805322106,153.87087259006603,112.01210372809103,0.0005713421227080879,0.520473484484882,0.32257834498746557,0.1985038356578191,0.015373333341789839,0.2896132664337178,0.0343097519306889,0.7019349901136706,2.3416594905879515,7,COMPLETE
IZ-F,0.85,1.406431743553722,0.8921203121991893,0.30008498150013896,139.35210660505103,97.48924726833651,0.0014786575985813659,0.43629521650167263,0.21426602783057594,0.1797009766212075,0.0385270180487229,0.3058494395239938,0.02327750614083409,0.7881519330138183,2.6988531138466594,32,COMPLETE
IZ-G,0.87,0.7718503567596011,0.5048527491598764,0.4868166648967674,134.86527374443952,121.2864153362929,0.0005667705560550862,0.405341126999632,0.160964798312933,0.09998826946783601,0.012486962579184961,0.20398918017962392,0.039725739152870226,0.8204660055159727,3.289513531669719,24,COMPLETE
IZ-H,0.9,1.318888867433764,0.571542510910221,0.3731962300542189,157.3809606006788,118.01009612280995,0.0007670397631655655,0.43711314995439066,0.29584494971525277,0.10043443928581018,0.044198975480501855,0.24329720242636782,0.022341446890752698,0.7572085982137763,3.031166453563393,35,COMPLETE
