analysis,term,statistic,df1,df2,p_value,partial_eta2,significant
art_anova,neuron type,4.74960397180892,7,960,2.9229149300734716e-05,0.03347326513683255,True
art_anova,dataset,1269.3582940449735,2,960,2.594090349927591e-270,0.7256136712336302,True
art_anova,encoder-decoder,57.2085114062475,3,960,5.003055547288813e-34,0.1516628328267886,True
art_anova,neuron type x dataset,1.6929928252909245,14,960,0.05174787903112113,0.024094595694912627,False
art_anova,neuron type x encoder-decoder,3.8519144048318483,21,960,1.4782610288242647e-08,0.0777125217502032,True
art_anova,dataset x encoder-decoder,52.460226791831715,6,960,5.484014928404842e-56,0.24691787062447307,True
art_anova,neuron type x dataset x encoder-decoder,1.964007030234639,42,960,0.00030137338703403364,0.079126351484361,True
permutation,neuron type,168.1450436817133,,10000,9.999000099990002e-05,,True
