,IZ-A,IZ-B,IZ-C,IZ-D,IZ-E,IZ-F,IZ-G,IZ-H
IZ-A,1.0,1.0,0.022388801865706166,0.125414392444788,1.0,1.0,0.015326637005352887,0.21334612207193365
IZ-B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IZ-C,0.022388801865706166,1.0,1.0,1.0,1.0,0.020034220562707598,1.0,1.0
IZ-D,0.125414392444788,1.0,1.0,1.0,1.0,0.11499919152471481,1.0,1.0
IZ-E,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IZ-F,1.0,1.0,0.020034220562707598,0.11499919152471481,1.0,1.0,0.013608658610153689,0.19798221353990852
IZ-G,0.015326637005352887,1.0,1.0,1.0,1.0,0.013608658610153689,1.0,1.0
IZ-H,0.21334612207193365,1.0,1.0,1.0,1.0,0.19798221353990852,1.0,1.0
