,IZ-A,IZ-B,IZ-C,IZ-D,IZ-E,IZ-F,IZ-G,IZ-H
IZ-A,0.0,-0.3223140495867769,0.2396694214876034,0.5041322314049588,-0.33884297520661155,-0.33884297520661155,-0.371900826446281,0.04132231404958686
IZ-B,0.3223140495867769,0.0,0.6033057851239669,0.7685950413223142,0.008264462809917328,-0.1074380165289256,-0.05785123966942152,0.42148760330578505
IZ-C,-0.23966942148760328,-0.6033057851239669,0.0,0.4545454545454546,-0.6198347107438016,-0.6363636363636364,-0.6942148760330579,-0.2727272727272727
IZ-D,-0.5041322314049587,-0.768595041322314,-0.4545454545454546,0.0,-0.8016528925619835,-0.7520661157024793,-0.8016528925619835,-0.5371900826446281
IZ-E,0.33884297520661155,-0.008264462809917328,0.6198347107438016,0.8016528925619835,0.0,-0.12396694214876036,-0.09090909090909094,0.43801652892561993
IZ-F,0.33884297520661155,0.1074380165289257,0.6363636363636365,0.7520661157024793,0.12396694214876036,0.0,0.05785123966942152,0.47107438016528924
IZ-G,0.3719008264462811,0.05785123966942152,0.6942148760330578,0.8016528925619835,0.09090909090909083,-0.05785123966942152,0.0,0.5371900826446281
IZ-H,-0.04132231404958675,-0.42148760330578516,0.2727272727272727,0.5371900826446281,-0.4380165289256198,-0.47107438016528924,-0.5371900826446281,0.0
