,IZ-A,IZ-B,IZ-C,IZ-D,IZ-E,IZ-F,IZ-G,IZ-H
IZ-A,0.0,0.38842975206611574,0.6859504132231404,0.8016528925619835,0.6033057851239669,-0.024793388429752095,0.7520661157024793,0.6363636363636365
IZ-B,-0.38842975206611574,0.0,0.42148760330578505,0.2727272727272727,0.07438016528925617,-0.42148760330578516,0.5041322314049588,0.22314049586776852
IZ-C,-0.6859504132231404,-0.42148760330578516,0.0,-0.25619834710743805,-0.4049586776859504,-0.6694214876033058,-0.04132231404958675,-0.25619834710743805
IZ-D,-0.8016528925619835,-0.2727272727272727,0.25619834710743805,0.0,-0.30578512396694213,-0.7851239669421488,0.2396694214876034,0.008264462809917328
IZ-E,-0.6033057851239669,-0.07438016528925617,0.4049586776859504,0.30578512396694224,0.0,-0.5867768595041323,0.4876033057851239,0.2396694214876034
IZ-F,0.024793388429751984,0.42148760330578505,0.6694214876033058,0.7851239669421488,0.5867768595041323,0.0,0.7355371900826446,0.7024793388429753
IZ-G,-0.7520661157024793,-0.5041322314049587,0.04132231404958686,-0.23966942148760328,-0.487603305785124,-0.7355371900826446,0.0,-0.30578512396694213
IZ-H,-0.6363636363636364,-0.22314049586776863,0.25619834710743805,-0.008264462809917328,-0.23966942148760328,-0.7024793388429752,0.30578512396694224,0.0
