,IZ-A,IZ-B,IZ-C,IZ-D,IZ-E,IZ-F,IZ-G,IZ-H
IZ-A,1.0,1.0,1.0,0.7933465726694715,1.0,1.0,1.0,1.0
IZ-B,1.0,1.0,0.42465200331296843,0.01997199926809226,1.0,1.0,1.0,1.0
IZ-C,1.0,0.42465200331296843,1.0,1.0,0.42465200331296843,0.2203565857980562,0.2203565857980562,1.0
IZ-D,0.7933465726694715,0.01997199926809226,1.0,1.0,0.01997199926809226,0.007948013805516844,0.007948013805516844,1.0
IZ-E,1.0,1.0,0.42465200331296843,0.01997199926809226,1.0,1.0,1.0,1.0
IZ-F,1.0,1.0,0.2203565857980562,0.007948013805516844,1.0,1.0,1.0,1.0
IZ-G,1.0,1.0,0.2203565857980562,0.007948013805516844,1.0,1.0,1.0,1.0
IZ-H,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
