,IZ-A,IZ-B,IZ-C,IZ-D,IZ-E,IZ-F,IZ-G,IZ-H
IZ-A,0.0,-0.024793388429752095,0.8181818181818181,0.47933884297520657,0.28925619834710736,0.2727272727272727,-0.024793388429752095,0.7355371900826446
IZ-B,0.024793388429751984,0.0,0.7520661157024793,0.42148760330578505,0.28925619834710736,0.1900826446280992,0.05785123966942152,0.6446280991735538
IZ-C,-0.8181818181818181,-0.7520661157024793,0.0,-0.05785123966942152,-0.2479338842975206,-0.5867768595041323,-0.6115702479338843,0.05785123966942152
IZ-D,-0.47933884297520657,-0.42148760330578516,0.05785123966942152,0.0,-0.1074380165289256,-0.25619834710743805,-0.371900826446281,0.15702479338842967
IZ-E,-0.2892561983471075,-0.2892561983471075,0.24793388429752072,0.1074380165289257,0.0,-0.05785123966942152,-0.22314049586776863,0.2727272727272727
IZ-F,-0.2727272727272727,-0.1900826446280992,0.5867768595041323,0.25619834710743805,0.05785123966942152,0.0,-0.20661157024793386,0.47107438016528924
IZ-G,0.024793388429751984,-0.05785123966942152,0.6115702479338843,0.3719008264462811,0.22314049586776852,0.20661157024793386,0.0,0.5537190082644627
IZ-H,-0.7355371900826446,-0.6446280991735538,-0.05785123966942152,-0.15702479338842978,-0.2727272727272727,-0.47107438016528924,-0.5537190082644627,0.0
