,IZ-A,IZ-B,IZ-C,IZ-D,IZ-E,IZ-F,IZ-G,IZ-H
IZ-A,1.0,0.9999782922716192,0.3985679519025742,0.999991313111856,0.9999999757369687,0.9999010586808079,0.9845746487864316,0.9998121865361677
IZ-B,0.9999782922716192,1.0,0.6258059462143944,0.9999999999887931,0.999999150610439,0.9954068629602381,0.9167619254244889,0.9999999757369687
IZ-C,0.3985679519025742,0.6258059462143944,1.0,0.597129657205433,0.4817663074319849,0.17799037795989292,0.04844019190961202,0.7089757289540569
IZ-D,0.999991313111856,0.9999999999887931,0.597129657205433,1.0,0.9999998198338266,0.9967869662146326,0.9297720761152946,0.9999998198338266
IZ-E,0.9999999757369687,0.999999150610439,0.4817663074319849,0.9999998198338266,1.0,0.9994303232755338,0.9680690187478374,0.9999782922716192
IZ-F,0.9999010586808079,0.9954068629602381,0.17799037795989292,0.9967869662146326,0.9994303232755338,1.0,0.9996644224650172,0.9882723732900651
IZ-G,0.9845746487864316,0.9167619254244889,0.04844019190961202,0.9297720761152946,0.9680690187478374,0.9996644224650172,1.0,0.8688408711587763
IZ-H,0.9998121865361677,0.9999999757369687,0.7089757289540569,0.9999998198338266,0.9999782922716192,0.9882723732900651,0.8688408711587763,1.0
