problema,H,p_value,epsilon2,resultado
acrobot,26.195468474324457,0.00046472266008818766,0.30109733878533856,significativo
cartpole,25.95142020942818,0.0005138344854655147,0.29829218631526644,significativo
mountain,18.312999935956938,0.010634856384712784,0.21049425213743608,significativo
