study_name,value,c1,c2,c3,inputWeights_max,inputWeights_min,interSpeciesRate,keep,noCrossoverOff,probabilityAddLink_Large,probabilityAddLink_small,probabilityAddNodeLarge,probabilityAddNodeSmall,probabilityWeightMutated,threshold,number,state
IZ-A,0.85,0.5542598685155183,1.318781534333189,0.3521207156492838,134.13497157927625,99.64305651507794,0.0008747452103963146,0.42033434367614375,0.2547159691153245,0.08576714861706466,0.03869524297313063,0.19481887523093155,0.03233014178432124,0.78502963410232,2.3109100786241403,41,COMPLETE
IZ-B,0.89,1.0024274005331764,0.7361671375548294,0.3729224156588446,135.94413472194262,102.59409596061718,0.0012245952333627683,0.47422357480167227,0.3059873053402793,0.0752067426136991,0.029881312636811635,0.2665747843685639,0.022110179561097204,0.883460060691674,2.700079675259858,40,COMPLETE
IZ-C,0.84,1.1243384548750033,1.35974477128888,0.4829321431366042,152.0179311062319,112.34229719926427,0.0008384450959282468,0.4924660517374484,0.2317620178226809,0.0889684302086999,0.029252163572498314,0.3325057662926341,0.023076868210429605,0.7495361779538918,2.813877381963811,29,COMPLETE
IZ-D,0.86,0.8778588464091399,0.5868187953278412,0.3364667254703172,164.91640557291794,108.34979134813048,0.001247250263086275,0.44951986750302175,0.3314465282586354,0.06184631506920341,0.03709495065777293,0.36371716012536764,0.03190730511964097,0.8054739122912428,2.3918398485450734,26,COMPLETE
IZ-E,0.87,0.5327283363336044,1.2675096516328384,0.3493910610887837,164.85069570387714,109.28011481798504,0.0013377862404237903,0.508648849956464,0.20617958625659413,0.09184987902884947,0.01621484939911135,0.1804246956645086,0.03808418908638023,0.7438007727331665,3.51547274286773,6,COMPLETE
IZ-F,0.87,1.2691368606569016,1.2989056529827012,0.4562322457386215,130.90318026661723,103.72646935482742,0.0009601910673765091,0.4945818292400153,0.2418687669625209,0.13464438498711007,0.04591959035380788,0.15962109955963494,0.03587099542822124,0.7916956804233839,3.144184474645708,28,COMPLETE
IZ-G,0.9,1.1241503124553167,1.425285801807958,0.3388536757205368,167.5627786225741,100.29372153461838,0.000557208671662807,0.40163922698604204,0.34507538790108067,0.16363153334893304,0.03662934565719257,0.285221408747533,0.03551271264670073,0.7456972523002594,2.1316069881420536,41,COMPLETE
IZ-H,0.86,0.8227336500170127,1.2561110269628821,0.3490125582954535,162.0181225651383,124.22513896625333,0.001275758416445301,0.46293465151447627,0.29852814242617054,0.17617427233768085,0.048872611866761444,0.25774818968285584,0.029365033066280938,0.7828546226929924,3.5107155235494574,13,COMPLETE
