study_name,value,c1,c2,c3,inputWeights_max,inputWeights_min,interSpeciesRate,keep,noCrossoverOff,probabilityAddLink_Large,probabilityAddLink_small,probabilityAddNodeLarge,probabilityAddNodeSmall,probabilityWeightMutated,threshold,number,state
IZ-A,0.81,1.3918952353589025,1.0227174136589945,0.41469437145841204,153.16912418542591,94.92499034954423,0.0009954415334307524,0.4734630889898291,0.20116678947918742,0.11608633710434177,0.016030521907760775,0.3571586413988118,0.03582813919616337,0.7102801351903124,3.3552652655120956,33,COMPLETE
IZ-B,0.8,0.834283400403125,0.9660796926401806,0.4156270508051122,166.52932765006193,106.2126341986733,0.001045897782650555,0.44817940620659974,0.1544607626498122,0.07026326963220875,0.04650467667364834,0.39545598542761634,0.03232159147985549,0.8265954419633481,2.884828327739746,4,COMPLETE
IZ-C,0.79,1.168187802275328,1.2692320137223942,0.43444851596974476,131.3669957185747,129.55269465870728,0.0007088681889840223,0.42846130184008757,0.29204466348002633,0.10282652489574623,0.025331223843570245,0.3273552059223857,0.03584947733434394,0.7063509255132929,3.3544728147892506,12,COMPLETE
IZ-D,0.84,1.3385946316778807,0.7809154057524184,0.3575759880938586,144.67163746304365,96.55419418364441,0.0008219187369996864,0.49506329155884965,0.23507517035466868,0.17480986637001272,0.04395000663072708,0.20820788718555294,0.023089448642858494,0.7680544335966684,2.6567858667100293,13,COMPLETE
IZ-E,0.78,0.8978823066022532,0.9445456974768599,0.43339347678101997,145.040527133066,115.84825572534372,0.0008462609346331046,0.5458484159583299,0.3202402487698559,0.07376045378880414,0.049277299474335304,0.24900440894725573,0.023988573555637906,0.776555395998156,2.499945198575176,16,COMPLETE
IZ-F,0.83,1.2334691406707172,1.1467676544249739,0.3872395152302579,154.78003617559114,107.15623330429135,0.001169947300936566,0.5563218108807481,0.3488081039360259,0.1377488255029949,0.036431142177298696,0.12556750250143872,0.0305141737748082,0.7652433237875651,3.379755523202258,15,COMPLETE
IZ-G,0.8,1.460102208098879,1.1674879164231513,0.36475862203593373,134.97462593871975,107.65204587195701,0.0006466469253890245,0.5360698857254022,0.25959984776649225,0.1223812484598663,0.03843668303574466,0.17414935098436587,0.028633943309072516,0.8268698566480539,2.8554650044731917,43,COMPLETE
IZ-H,0.84,1.0090559887162307,1.3297446341717598,0.44096531744300094,141.5201352566481,121.24953505785501,0.000746754992749625,0.4739830939000115,0.33115768781331445,0.15820352631839352,0.039868469173907316,0.3974879593606927,0.030731214168359392,0.8403108569347255,3.224711323687431,12,COMPLETE
