number,value,params_c1,params_c2,params_c3,params_inputWeights_max,params_inputWeights_min,params_interSpeciesRate,params_keep,params_noCrossoverOff,params_probabilityAddLink_Large,params_probabilityAddLink_small,params_probabilityAddNodeLarge,params_probabilityAddNodeSmall,params_probabilityWeightMutated,params_threshold,state,study_name
0,-111.9,0.8087917701170115,1.0900978114652409,0.3323905121625484,150.0,0.0,0.001325769860712736,0.4939624970149944,0.20190213122754505,0.12600067176845353,0.020709859974451617,0.23602845889732524,0.02708631622549824,0.770772665231818,2.4317364034809126,COMPLETE,IZ-A
1,-115.4,1.3472004884397784,0.777931837956574,0.3409790398018477,211.86278321730148,71.73265011154325,0.0007875521349800638,0.5120414441647292,0.27999263053801293,0.05999376103114312,0.04197418421675861,0.2422610027156533,0.024040320696314624,0.8090729466536367,2.261726670881365,COMPLETE,IZ-A
2,-118.1,0.8536209060394929,0.7514142975786448,0.43149252776799707,89.76994552204171,52.838840745468154,0.0012239078174355194,0.40105257425266577,0.17603739056699266,0.12802610798567443,0.035867849755194886,0.3237455966389217,0.029559103013248135,0.701173794372762,2.545238224937547,COMPLETE,IZ-A
3,-108.2,1.1036566142655975,1.1989058447183945,0.3981817225799722,107.2721723643474,72.345952174668,0.0008842219839372977,0.41751540067431914,0.2246295185059234,0.09452863469778539,0.01763329784902746,0.3024385517603912,0.029141664013645468,0.8333434904998755,2.044978150367877,COMPLETE,IZ-A
4,-105.0,1.3705824901599901,1.2785136585084933,0.4427102258943727,147.08111101653031,18.158493044891184,0.001420021517384141,0.48796525941545954,0.23653459058113546,0.16436322489879782,0.012641236729730276,0.31549959039500436,0.029676053767157616,0.8518288496875154,3.145423962453022,COMPLETE,IZ-A
5,-113.9,1.3529359030129284,0.6953332555875507,0.48823056618769456,89.53969174019879,1.5408776878947346,0.0005384058938855448,0.45503200240316727,0.28628052507744073,0.09694549330807681,0.01714646418943054,0.3440206998961339,0.03600669318150414,0.8551568069766975,3.8928657100149175,COMPLETE,IZ-A
6,-116.5,0.8818091825598021,1.2778409484079838,0.431108082760048,106.1333859226583,66.22990913723997,0.0007371554060913274,0.49808786503854136,0.32043454502640445,0.09508372708883542,0.025286739468671354,0.11990015783405825,0.023192137677745174,0.7910024537791891,3.093915796187299,COMPLETE,IZ-A
7,-119.7,0.6732429267625154,1.3373203935752047,0.41078066065116414,104.87114027208113,42.38759006970485,0.0009648850096720937,0.5893545638215808,0.21446896075001556,0.10223660958846995,0.0425255260437677,0.14336438499600881,0.03543581981830141,0.7396554673607176,2.7960379284510566,COMPLETE,IZ-A
8,-104.5,1.25925398674411,1.3033445696137391,0.43863576971471824,145.97174235917254,55.19380306753887,0.0005839912736081891,0.40928292793016424,0.18093235838181543,0.18141653610184388,0.0412976145516957,0.1426492588686463,0.027463007902684175,0.7573169562036732,3.5322052938788824,COMPLETE,IZ-A
9,-111.3,0.6590794067412871,0.599042404996605,0.4971282511710029,207.64953997467268,23.54514728206565,0.001052400435995651,0.5596553883234443,0.31531571557430754,0.12103846117417819,0.017389644308018898,0.22256565016115268,0.0258857994660472,0.8783508607147594,3.21255056697652,COMPLETE,IZ-A
10,-116.1,1.1442616334810707,1.4783402453315129,0.3710816381606769,179.29568901517283,53.418338989894266,0.0005097336038346823,0.44928997051888986,0.1518340416466249,0.19912336741127362,0.04788312636676125,0.02418641358839932,0.020350975784130115,0.7382505402906379,3.715584232284389,COMPLETE,IZ-A
11,-112.8,1.4908327471274032,0.941971072804487,0.45919933288051074,143.9907747353315,22.062247327367935,0.001447892801745229,0.4563618837198192,0.2405486257293326,0.1867510232226198,0.031292845364034094,0.39924908580514,0.03223550335335563,0.8965454320210693,3.4904239431582504,COMPLETE,IZ-A
12,-110.5,1.244705815014609,1.4382307552530142,0.4578030595736848,153.65654067024929,20.647168877348392,0.0014873084382647623,0.5337923372480848,0.18253849773365788,0.16800070242159845,0.010127602971778664,0.1466456059951993,0.03285473748482184,0.8404914360424962,3.402469199894176,COMPLETE,IZ-A
13,-111.8,1.4917817792319215,1.064999556605076,0.45492069904816695,131.07538216261048,37.282606864094205,0.0011428422149552045,0.43124111545523003,0.2626684061930114,0.1611427922886902,0.03631740418831303,0.057008371081785025,0.03884648268068782,0.7629901464626748,2.884348363618986,COMPLETE,IZ-A
14,-115.9,1.2784235538533535,1.2065777006789573,0.38159799946606254,177.1855880752732,34.47047668949648,0.0006642488458162977,0.48106630476120693,0.34922447740136986,0.1605379292692204,0.028190503715213273,0.17846050692630455,0.027381913990769866,0.8171413723545615,3.5238213464741843,COMPLETE,IZ-A
15,-111.1,1.0292176275146527,0.9235336189575656,0.4296214061745221,172.20612064619107,10.480908614931103,0.0013039683538087518,0.546700715188901,0.15119935220642228,0.17865251835726087,0.010086237838551986,0.28071137218525755,0.03181487995312368,0.8676681873576175,3.2466993440009455,COMPLETE,IZ-A
16,-105.4,1.1980200440791156,1.3628070155733414,0.30512729968607066,129.0475867619089,59.52564203237888,0.0010427252570914926,0.4755499499289131,0.18824841326337188,0.1457497654635791,0.047447767793660646,0.1009215266791258,0.02421248594900923,0.7094838843526579,3.9879797983627987,COMPLETE,IZ-A
17,-117.7,1.3858136202033873,1.1578273890518866,0.4751019285901659,192.87754709504048,46.03025111837163,0.0006408361310072412,0.5225871303276839,0.24448418713924824,0.14968116979421314,0.035063512530732394,0.370198403065569,0.02084069328050226,0.7864499769687485,2.729142232570679,COMPLETE,IZ-A
18,-115.9,1.009309192901314,1.2717183597601598,0.4121515886927461,127.5270080155095,30.383263858965524,0.0008248389512174908,0.5700230817129353,0.22024974998355698,0.19919075348766643,0.04167843794716729,0.19029614027638458,0.030779113278585728,0.741710576162163,3.6592459054965127,COMPLETE,IZ-A
19,-116.5,1.4039297368182622,1.3851709038618327,0.4352988136398797,163.07810968795357,13.428812172906127,0.0009312911732740067,0.4285718810167473,0.26855711144663574,0.18391996653400408,0.023330989217478157,0.2800731865062005,0.03474758976964484,0.8293328870299536,3.024025139329783,COMPLETE,IZ-A
20,-132.8,1.1311982919412418,0.976054301418775,0.38465801994853555,194.25013398236626,47.36207326430637,0.0011561425272201447,0.4086846054539178,0.1676170154462317,0.1442240533546155,0.03175310721457307,0.08703917806628411,0.02871279700358901,0.8993641977332776,3.3188426939610234,COMPLETE,IZ-A
21,-105.7,1.2254839488191147,1.3505733819699715,0.3540351562250496,132.87672596367648,55.90764254959559,0.001051556364216991,0.47451739038261853,0.19891197856109225,0.14961860974405583,0.04966807718584426,0.09465256957044334,0.024610693754429192,0.7111745411108333,3.9795105200404377,COMPLETE,IZ-A
22,-111.4,1.1936174186426016,1.2617672602846939,0.30291774163215435,116.96743930906892,62.50983527394665,0.0013738404846208945,0.46855244886025577,0.19234657370310193,0.17315563819652305,0.04561210339963287,0.16886756017544546,0.022067438552091777,0.7200839650096846,3.7593294939147786,COMPLETE,IZ-A
23,-115.5,1.2964027237897442,1.4139022728928237,0.4456254269961966,140.37710603109718,56.473587350789735,0.0012156893970096125,0.44401266729862876,0.1676398153681431,0.13929239002978447,0.039196928667142784,0.10591157904136247,0.026153773754743398,0.7606648233532546,3.5904912612532467,COMPLETE,IZ-A
24,-120.7,1.0556267018222392,1.4940160501081419,0.3065556277030502,156.07235656644912,64.42247036218637,0.0010444504720342799,0.4845384369980205,0.2306689143240532,0.15739165695104587,0.045297654311250136,0.0642918703819593,0.02522123796085153,0.7269593566142979,3.842184788310557,COMPLETE,IZ-A
25,-111.0,0.5010224043138345,1.0956547746907659,0.4758205496590092,120.93601191698636,30.466310266199613,0.0006978168585002077,0.5134803149353486,0.20874963249943712,0.13354436582255863,0.03907982280561162,0.13983914410726858,0.022493542541040627,0.7553026777696512,3.9797576263701537,COMPLETE,IZ-A
26,-118.1,0.9293459511137883,1.320978889390673,0.4165811962790651,161.5118312773591,43.62280071985573,0.0005673904445159185,0.464125604827038,0.1809589345371962,0.186866793558431,0.04621790299986286,0.20227811361087672,0.027966389672232424,0.7782560014483112,3.1470934140369984,COMPLETE,IZ-A
27,-112.8,1.170201065409545,1.155721037097297,0.32381810196958916,141.13897198457929,60.0655578568613,0.000827238627449761,0.435179788575096,0.19451691246082792,0.16363926124336609,0.014249207311504194,0.02162816558360696,0.03008574256137333,0.85143382941726,3.408670862326989,COMPLETE,IZ-A
28,-120.2,1.4158053474079073,1.4089942475725077,0.35824364714221313,120.83489151104075,50.62798930841092,0.001386298551938064,0.5097940613689658,0.23565499535549161,0.11440228161049394,0.049869927177183866,0.2578554876532695,0.033786948321791084,0.8013619778728072,2.905777467064185,COMPLETE,IZ-A
29,-104.5,1.3338030092505095,1.0578079833777523,0.47201837588491696,147.20708036229814,2.3640137447574254,0.0012960118063131895,0.4910462691998986,0.256101446249041,0.06824982053055137,0.02523905062192737,0.058192720564695016,0.026901780399516594,0.7504766950219123,2.6398380389090144,COMPLETE,IZ-A
30,-111.9,1.311297492415482,0.896306412459977,0.4707851232374245,166.5372457148275,0.23756680743288427,0.0012811512827652673,0.5315490248423477,0.25484899757632945,0.054409668465092695,0.02134006033120777,0.06160448634411569,0.027924374887676073,0.7730402292870494,2.6139427194083176,COMPLETE,IZ-A
31,-110.4,1.4406948640069337,1.0499645839896576,0.4453083338392414,148.7657838693935,12.43801490180681,0.001403922782969932,0.4936541154532132,0.29582483050945807,0.0726154353884116,0.028535406472092108,0.11902690919180081,0.026604922125257675,0.7504903651105383,2.30013643230551,COMPLETE,IZ-A
32,-103.5,1.328373403647325,1.2267124380172794,0.48480320076481664,76.06171460693399,67.79546518494178,0.001238957788944165,0.48955296323564357,0.25176516237329966,0.06884528003803819,0.013817644106947198,0.07806438081338454,0.024798728202246014,0.7253999205469946,2.4207321012922343,COMPLETE,IZ-A
33,-179.1,1.3206104245847468,1.118631674177575,0.49993041266252675,81.2371280504337,7.696336426893723,0.0012606211916629524,0.48820908586540324,0.2766116738319935,0.07388769166257385,0.014712141021550539,0.045273902740479925,0.030512246747046834,0.7302104713610283,2.499497880431116,COMPLETE,IZ-A
34,-112.5,1.353931540301848,1.221919233096274,0.4798252816281535,185.55208397865994,68.94309280262522,0.0013367139302250006,0.507158055607355,0.24893556004692188,0.07065473155119445,0.013133883314784144,0.04349670771709314,0.026463490379153496,0.7704733006039888,2.3311362675450464,COMPLETE,IZ-A
35,-111.3,1.2628412139590246,0.8233536246627754,0.46476379701590537,96.26770714688473,74.01246246467153,0.0011957895651514292,0.4184811781066037,0.29419580236691534,0.061276376608514406,0.019804479327532695,0.08170484414346005,0.02840501485286727,0.7244775303993085,2.166619120167762,COMPLETE,IZ-A
36,-115.2,1.4515820555374663,1.0192940364957566,0.4865626083449472,111.9319630400768,6.133791966103809,0.0014932009223668937,0.499995149244833,0.2627472304610795,0.05093859073896559,0.025348245968080052,0.15602163459015594,0.023274957917434502,0.7011769534466237,2.0617840883600715,COMPLETE,IZ-A
37,-111.8,1.3464509060994234,1.150191441023447,0.4454412991198406,223.40528852626005,16.577141846709782,0.0011502979661021586,0.5225568018191843,0.22499732270011313,0.08335320461187753,0.019478695736629283,0.3251044077718682,0.029358911289888663,0.7477978971349909,2.5932691634730833,COMPLETE,IZ-A
38,-114.5,1.378018837886972,1.3014037849020679,0.48808210909498684,75.5688788058,4.073064553043707,0.0013421680927756762,0.4634190301795296,0.3107029162127349,0.08523841394004371,0.012131533892811002,0.12834505156559822,0.025127897272740844,0.8134554124635791,2.426378998854408,COMPLETE,IZ-A
